Soil ID,Location,Type,Prot (% DM),Fe mg kg-1 DM,Zn mg kg-1 DM,Area (ha),Food yield ha-1,Wheat yield-1,N application farm-1,N ha-1,SIR (g C h-1 g soil -1),POM C (mg g soil-1),Min C (mg g soil-1),POM N (mg g soil-1),Min N (mg g soil-1),% Sand,% Silt,% Clay,pH,Cu (mg/Kg),Fe (mg / Kg),Mn (mg/Kg),Zn (mg/Kg),North,East,Elev,Dmun,DCG,DFpatch5000,DFpatch2500,DGpatch2500,DGpatch5000,Drd,Trd
37-HK-W,Near Forest,Wheat,8.09,24.98,23.54,0.6,24,2032.520325,12.4,20.9,28.04,3.5,18.91,0.2,1.77,42.2,30.6,27.2,6.3,2.31,93.98,255.88,17.2,07Á18.033',038Á47.951',2200,0.54,3484.36,0.54,0.54,41.99,41.99,1,0.2
38-TW-W,Near Forest,Wheat,9.68,45.45,29.16,2.4,17,,68.7,28.94,33.48,4.79,27.96,0.28,2.56,33.2,36.4,30.4,6.2,2.53,114.13,258.19,16.41,07Á18.033',038Á47.951',2100,2566.54,739.98,4.49,4.49,5.84,66.66,1,0.4
39-BG-H,Middle,Home,,,,,,,,,30.89,11.69,24.67,0.77,2.09,51.2,35,13.8,6.8,2.08,89.68,157.75,13.83,07?18.644',038?45.733',2177,129.87,2885.09,10.04,10.04,57.39,159.35,1,0.4
40-AB-H,Middle,Home,,,,,,,,,33.5,6.06,26.03,0.37,1.82,42,39.8,18.2,6,2.05,149.37,247.5,10.94,07Á18'43.6'',038Á46'09.7'',2105,2824.38,484.28,14.87,14.87,3.32,3.32,0,0.06
41-SE-W,Road,Wheat,9.78,23.87,22.93,0.8,68,2125.85034,19.8,26.31,30.42,3.59,18.09,0.18,1.38,38.4,49,12.6,5.9,1.6,131.39,228.9,5.62,07Á19'37.5'',038Á43'36.7'',2068,6764.1,3117.59,152.38,152.38,3.48,202.93,1.25,0.25
42-UW-W,Near Forest,Wheat,8.17,39.54,30.1,1.3,21,2383.790226,33.9,26.52,30.35,4.91,24,0.27,2.06,38,45.8,16.2,5.9,2.46,144.62,375.66,18.13,07Á17.997',038Á47.889',2158,310.4,2638.2,1.22,1.22,10.29,245.91,1.5,0.25
43-RH-W,Middle,Wheat,8.81,25.66,27.34,1,20,1328.903654,5.2,5.36,31.12,3.24,18.59,0.17,1.45,39.8,32,28.2,5.9,1.69,113.91,273.27,6.71,07Á18'32.3'',038Á45'57.5'',2113,2571.39,968.78,19.07,19.07,0.97,49.67,0.01,0.01
44-EB-H,Near Forest,Home,,,,,,,,,38.39,23.87,33,3.45,1.98,62,6.8,31.2,7.1,2.2,91.3,133.85,29.93,07Á17'809'',038Á48'464'',2174,1.17,3083.09,1.17,1.17,15.92,15.92,0.5,0.07
45-KG-W,Road,Wheat,,,,,,2580.645161,,,40.46,4.62,17.88,0.91,0.4,37.6,39.6,22.8,6.4,1.42,82.66,222.58,6.06,07Á19'34.0'',038Á43'35.3'',2171,175.69,2849.24,2.35,2.35,192.5,232.2,1,0.3
46-AB-W,Middle,Wheat,8.88,28.36,26.22,0.4,57,6403.415155,7.6,16.89,39.25,4.11,19.09,1.52,0.27,40.8,32.6,26.6,6.4,1.99,82.32,215.85,16.18,07Á18'43.6'',038Á46'09.7'',2105,2824.38,484.28,14.87,14.87,3.32,3.32,0,0.06
47-F,Forest,Forest,,,,,,,,,93.94,37.75,36.7,4.32,2.15,61.6,29.6,8.8,6.6,1.67,124.25,343.07,44.91,,,,0,,0,0,,,,
